navcoid;country_id_t1;country_id;barroleemerge;location
255;146;146;Bahrain;Bahrain
290;152;152;Bulgaria;Bulgaria
295;13;13;Egypt;Egypt
339;65;65;Mauritania;Mauritania
335;11;11;Russian Federation;Russia
308;49;49;Thailand;Thailand
312;98;98;Tunisia;Tunisia
313;99;99;Turkey;Turkey
314;100;100;Ukraine;Ukraine
10014;56;56;Indonesia;West Papua
10015;;;Western Sahara;Western Sahara
262;13;13;Egypt;Egypt
332;118;118;Georgia;Georgia
333;79;79;Iran (Islamic Republic of);Iran
320;83;83;Jordan;Jordan
303;88;88;Maldives;Maldives
323;33;33;Sudan;Sudan
309;134;134;Togo;Togo
302;87;87;Malawi;Malawi
316;14;14;Yemen;Yemen
317;103;103;Algeria;Algeria
260;113;113;Djibouti;Djibouti
331;13;13;Egypt;Egypt
293;64;64;Cote dIvoire;Ivory Coast
281;132;132;Swaziland;Swaziland
10012;97;97;Syrian Arab Republic;Syria
311;98;98;Tunisia;Tunisia
327;63;63;Guinea;Guinea
338;26;26;Haiti;Haiti
269;122;122;Kyrgyzstan;Kyrgyzstan
274;58;58;Nepal;Nepal
324;49;49;Thailand;Thailand
318;105;105;Armenia;Armenia
266;27;27;Honduras;Honduras
298;168;168;Iceland;Iceland
272;125;125;Madagascar;Madagascar
321;44;44;Lebanon;Lebanon
17;88;88;Maldives;Maldives
304;29;29;Pakistan;Pakistan
284;49;49;Thailand;Thailand
288;24;24;Bangladesh;Bangladesh
10009;10;10;Myanmar;Myanmar
283;49;49;Thailand;Thailand
39;107;107;Belarus;Belarus
10;3;3;Mexico;Mexico
149;58;58;Nepal;Nepal
30;49;49;Thailand;Thailand
310;;;Tonga;Tonga
261;75;75;Ecuador;Ecuador
118;13;13;Egypt;Egypt
231;122;122;Kyrgyzstan;Kyrgyzstan
53;44;44;Lebanon;Lebanon
243;90;90;Morocco;Morocco
286;134;134;Togo;Togo
10001;24;24;Bangladesh;Bangladesh
297;26;26;Haiti;Haiti
159;100;100;Ukraine;Ukraine
257;25;25;Bolivia;Bolivia
183;118;118;Georgia;Georgia
130;125;125;Madagascar;Madagascar
279;46;46;Philippines;Philippines
194;46;46;Philippines;Philippines
12;61;61;Zambia;Zambia
10003;154;154;Croatia;Croatia
264;162;162;Fiji;Fiji
10007;7;7;Ghana;Ghana
25;3;3;Mexico;Mexico
16;30;30;Peru;Peru
13;31;31;Senegal;Senegal
23;198;198;Serbia;Serbia
230;74;74;East Timor;East Timor
268;56;56;Indonesia;Indonesia
152;47;47;Nigeria;Nigeria
29;56;56;Indonesia;Indonesia
119;198;198;Yugoslavia;Yugoslavia
158;45;45;Nigeria;Nigeria
219;47;47;United Republic of Tanzania;Tanzania
8;87;87;Malawi;Malawi
211;8;8;South Africa;South Africa
325;71;71;Central African Republic;CAR
1;125;125;Madagascar;Madagascar
9;166;166;Guyana;Guyana
151;60;60;Niger;Niger
179;157;157;Slovakia;Slovakia
336;42;42;Republic of Korea;South Korea
222;49;49;Thailand;Thailand
5;12;12;Albania;Albania
38;11;11;Belarus;Belarus
259;108;108;Cameroon;Cameroon
202;11;11;Estonia;Estonia
7;40;40;Kenya;Kenya
123;11;122;Kyrgyzstan;Kyrgyzstan
127;11;11;Latvia;Latvia
190;11;11;Lithuania;Lithuania
132;28;28;Mali;Mali
185;11;11;Russian Federation;Russia
205;202;202;Slovenia;Slovenia
285;134;134;Togo;Togo
248;61;61;Zambia;Zambia
37;24;24;Bangladesh;Bangladesh
41;52;52;Benin;Benin
47;152;152;Bulgaria;Bulgaria
48;10;10;Myanmar;Burma
292;64;64;Cote dIvoire;Ivory Coast
138;89;89;Mongolia;Mongolia
224;58;58;Nepal;Nepal
164;128;128;Palestine;Palestine
204;198;202;Slovenia;Slovenia
287;11;100;Ukraine;Ukraine
26;72;72;Chile;Chile
226;110;110;China;China
240;157;157;Czechoslovakia;Czechoslovakia
75;137;137;East Germany;East Germany
95;210;210;Hungary;Hungary
24;92;92;Panama;Panama
206;17;17;Poland;Poland
253;190;190;Romania;Romania
10013;;;Tibet;Tibet
32;37;37;Argentina;Argentina
263;162;162;Fiji;Fiji
296;26;26;Haiti;Haiti
213;42;42;Republic of Korea;South Korea
15;26;26;Haiti;Haiti
278;29;29;Pakistan;Pakistan
169;46;46;Philippines;Philippines
289;25;25;Bolivia;Bolivia
68;19;19;Brazil;Brazil
18;33;33;Sudan;Sudan
215;48;48;Taiwan;Taiwan
239;102;102;Uruguay;Uruguay
307;4;4;Suriname;Suriname
33;37;37;Argentina;Argentina
163;29;29;Pakistan;Pakistan
305;31;31;Senegal;Senegal
43;25;25;Bolivia;Bolivia
71;169;169;Israel;Israel
120;198;198;Yugoslavia;Yugoslavia
10006;22;22;El Salvador;El Salvador
212;42;42;Republic of Korea;South Korea
66;110;110;China;China
104;79;79;Iran (Islamic Republic of);Iran
276;59;59;Nicaragua;Nicaragua
254;;;Aruba;Aruba
10008;39;39;India;India
277;29;29;Pakistan;Pakistan
173;17;17;Poland;Poland
